City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-07-07 04:06:31,-38.0023,-57.5575,50.09,87,100,4.0
1,Kodiak,US,2022-07-07 04:06:31,57.79,-152.4072,54.91,88,100,6.91
2,Katsuura,JP,2022-07-07 04:06:32,35.1333,140.3,82.42,82,71,15.43
3,Jutai,BR,2022-07-07 04:06:32,-5.1833,-68.9,72.81,96,76,1.77
4,Carnarvon,AU,2022-07-07 03:58:21,-24.8667,113.6333,71.89,20,0,9.44
5,Avarua,CK,2022-07-07 03:59:38,-21.2078,-159.775,73.45,60,57,14.2
6,Ponta Do Sol,PT,2022-07-07 04:06:33,32.6667,-17.1,68.63,75,1,3.56
7,Vaini,TO,2022-07-07 03:58:26,-21.2,-175.2,75.36,73,20,8.05
8,Nenjiang,CN,2022-07-07 04:06:33,49.1833,125.2167,82.2,46,34,10.85
9,Geraldton,AU,2022-07-07 04:06:34,-28.7667,114.6,68.41,40,0,8.05
10,Alta Floresta,BR,2022-07-07 04:06:34,-9.8756,-56.0861,68.13,53,16,2.48
11,Rikitea,PF,2022-07-07 03:56:58,-23.1203,-134.9692,74.41,76,59,19.33
12,Ilmajoki,FI,2022-07-07 04:06:35,62.7333,22.5667,54.99,72,0,6.91
13,Lagunas,PE,2022-07-07 04:06:35,-5.2269,-75.6753,71.53,96,10,1.63
14,Hamilton,US,2022-07-07 04:06:36,39.1834,-84.5333,75.06,96,99,5.41
15,Ixtapa,MX,2022-07-07 04:04:52,20.7,-105.2,81.23,89,75,4.61
16,Bethel,US,2022-07-07 03:59:41,41.3712,-73.414,73.65,83,42,4.83
17,Hithadhoo,MV,2022-07-07 03:55:19,-0.6,73.0833,82.26,76,82,10.31
18,Cherskiy,RU,2022-07-07 03:58:19,68.75,161.3,55.81,49,98,8.84
19,Airai,TL,2022-07-07 04:06:37,-8.9266,125.4092,66.54,58,100,2.89
20,Aksarka,RU,2022-07-07 04:06:38,66.5606,67.7975,67.96,62,22,7.27
21,Hasaki,JP,2022-07-07 03:59:45,35.7333,140.8333,82.29,83,14,18.68
22,Tuatapere,NZ,2022-07-07 04:06:38,-46.1333,167.6833,45.28,76,100,4.21
23,Ushuaia,AR,2022-07-07 03:53:14,-54.8,-68.3,29.86,69,0,6.91
24,Kauhajoki,FI,2022-07-07 04:06:39,62.4333,22.1833,53.76,83,89,4.68
25,Atuona,PF,2022-07-07 04:06:39,-9.8,-139.0333,77.68,80,26,25.57
26,Huntington,US,2022-07-07 04:04:31,38.4193,-82.4452,73.35,96,100,4.79
27,Ilulissat,GL,2022-07-07 04:06:40,69.2167,-51.1,39.22,100,100,4.61
28,Barrow,US,2022-07-07 03:59:37,71.2906,-156.7887,46.42,87,100,11.5
29,Nikolskoye,RU,2022-07-07 03:58:24,59.7035,30.7861,64.87,90,100,2.95
30,Castro,BR,2022-07-07 04:06:41,-24.7911,-50.0119,54.27,71,100,3.42
31,Necochea,AR,2022-07-07 04:06:42,-38.5473,-58.7368,50.61,59,100,13.89
32,Coquimbo,CL,2022-07-07 04:06:42,-29.9533,-71.3436,49.73,76,0,8.05
33,Ballina,AU,2022-07-07 04:06:42,-28.8667,153.5667,72.01,73,83,9.84
34,Suoyarvi,RU,2022-07-07 04:06:43,62.0833,32.35,60.13,69,100,4.5
35,Berlevag,NO,2022-07-07 04:06:43,70.8578,29.0864,55.4,71,100,9.22
36,Miyako,JP,2022-07-07 04:06:44,39.6367,141.9525,71.87,87,92,8.12
37,Punta Arenas,CL,2022-07-07 03:57:01,-53.15,-70.9167,30.31,93,0,12.66
38,Camacha,PT,2022-07-07 04:02:52,33.0833,-16.3333,65.62,68,75,11.5
39,Isangel,VU,2022-07-07 04:06:44,-19.55,169.2667,84.31,70,75,5.75
40,Kargasok,RU,2022-07-07 04:06:45,59.0556,80.8572,69.51,47,42,8.79
41,Hobyo,SO,2022-07-07 04:06:45,5.3505,48.5268,76.75,78,38,24.74
42,Lanxi,CN,2022-07-07 04:06:46,29.2195,119.477,92.37,60,9,4.25
43,Lebu,CL,2022-07-07 03:58:17,-37.6167,-73.65,45.97,80,67,7.87
44,Yellowknife,CA,2022-07-07 03:56:34,62.456,-114.3525,66.72,52,75,6.91
45,Touros,BR,2022-07-07 03:59:42,-5.1989,-35.4608,74.07,93,55,9.55
46,Qaanaaq,GL,2022-07-07 04:06:47,77.484,-69.3632,40.15,95,100,2.35
47,Lata,PT,2022-07-07 04:06:47,40.1629,-8.3327,66.42,52,0,6.71
48,Upernavik,GL,2022-07-07 04:07:48,72.7868,-56.1549,39.54,86,9,5.46
49,Lokosovo,RU,2022-07-07 04:07:48,61.1333,74.8167,70.16,42,71,4.52
50,Bluff,NZ,2022-07-07 03:59:34,-46.6,168.3333,44.8,71,100,6.06
51,Hambantota,LK,2022-07-07 04:04:21,6.1241,81.1185,86.34,70,20,11.5
52,Mataura,NZ,2022-07-07 04:07:49,-46.1927,168.8643,44.47,76,100,3.6
53,Adelaide,AU,2022-07-07 04:06:14,-34.9333,138.6,59.29,69,40,14.97
54,New Norfolk,AU,2022-07-07 04:07:50,-42.7826,147.0587,55.92,70,49,4.0
55,Hermanus,ZA,2022-07-07 03:59:39,-34.4187,19.2345,43.81,65,41,11.86
56,Darnah,LY,2022-07-07 04:07:50,32.767,22.6367,78.46,74,0,13.27
57,Port Elizabeth,ZA,2022-07-07 04:07:51,-33.918,25.5701,55.31,79,0,3.0
58,Isabela,PH,2022-07-07 04:07:51,6.7085,121.9711,84.25,64,79,9.6
59,Albany,US,2022-07-07 04:03:52,42.6001,-73.9662,63.73,86,15,4.14
60,Dingle,PH,2022-07-07 04:07:52,10.9995,122.6711,85.15,75,99,6.51
61,Mount Isa,AU,2022-07-07 04:07:53,-20.7333,139.5,69.57,37,0,12.66
62,Uruzgan,AF,2022-07-07 04:07:53,32.8333,66.0,81.88,44,88,1.25
63,Abu Zabad,SD,2022-07-07 04:07:53,12.35,29.25,81.45,54,96,7.92
64,Sinazongwe,ZM,2022-07-07 04:07:54,-17.2614,27.4618,59.54,60,0,3.53
65,Pevek,RU,2022-07-07 04:07:54,69.7008,170.3133,34.14,85,66,10.16
66,Arraial Do Cabo,BR,2022-07-07 04:07:55,-22.9661,-42.0278,69.76,89,0,25.32
67,Hobart,AU,2022-07-07 03:55:26,-42.8794,147.3294,56.26,61,32,4.0
68,Busselton,AU,2022-07-07 04:07:55,-33.65,115.3333,57.02,71,100,8.19
69,Bam,IR,2022-07-07 04:07:56,29.106,58.357,90.81,15,81,12.24
70,Kaitangata,NZ,2022-07-07 04:07:56,-46.2817,169.8464,47.82,69,99,4.74
71,Saskylakh,RU,2022-07-07 03:58:20,71.9167,114.0833,60.01,46,94,14.2
72,Talnakh,RU,2022-07-07 04:07:57,69.4865,88.3972,49.21,69,94,12.59
73,Yabrud,SY,2022-07-07 04:07:57,33.9674,36.6574,68.94,32,0,2.19
74,Dikson,RU,2022-07-07 04:07:58,73.5069,80.5464,33.12,86,13,3.44
75,Saint George,US,2022-07-07 04:05:38,37.1041,-113.5841,91.99,9,0,11.5
76,Gimli,CA,2022-07-07 04:06:38,50.6336,-96.9907,63.75,96,0,11.34
77,Opuwo,NA,2022-07-07 04:07:59,-18.0607,13.84,57.58,39,0,7.29
78,Seoul,KR,2022-07-07 04:03:40,37.5683,126.9778,88.99,55,100,11.34
79,Ust-Tsilma,RU,2022-07-07 04:08:00,65.441,52.1498,70.92,68,97,3.76
80,Port Lincoln,AU,2022-07-07 04:08:01,-34.7333,135.8667,56.32,64,100,11.34
81,Bredasdorp,ZA,2022-07-07 04:08:01,-34.5322,20.0403,46.71,73,23,7.16
82,Kapaa,US,2022-07-07 04:08:01,22.0752,-159.319,82.38,81,75,18.41
83,Klaksvik,FO,2022-07-07 04:08:02,62.2266,-6.589,47.32,78,100,6.71
84,Puerto Escondido,MX,2022-07-07 04:08:02,15.85,-97.0667,79.5,82,91,3.22
85,Sakakah,SA,2022-07-07 04:08:03,29.9697,40.2064,79.27,33,0,9.51
86,Tromso,NO,2022-07-07 04:08:03,69.6496,18.957,54.37,71,75,8.05
87,Bukan,IR,2022-07-07 04:08:03,36.521,46.2089,69.4,41,0,4.88
88,Divnomorskoye,RU,2022-07-07 04:08:04,44.5011,38.1353,72.97,57,0,5.06
89,Santa Lucia,ES,2022-07-07 04:08:04,27.9117,-15.5407,61.92,68,75,31.07
90,Hilo,US,2022-07-07 04:03:06,19.7297,-155.09,79.11,68,100,5.01
91,Cape Town,ZA,2022-07-07 03:58:15,-33.9258,18.4232,57.38,80,40,10.36
92,Butaritari,KI,2022-07-07 04:08:05,3.0707,172.7902,82.9,73,75,17.85
93,Antalaha,MG,2022-07-07 04:08:06,-14.9003,50.2788,68.79,87,74,8.99
94,Thompson,CA,2022-07-07 04:08:06,55.7435,-97.8558,56.62,70,86,6.29
95,Torbay,CA,2022-07-07 03:59:40,47.6666,-52.7314,57.76,94,100,18.41
96,Georgetown,MY,2022-07-07 04:04:24,5.4112,100.3354,87.73,66,20,6.91
97,Saint-Philippe,RE,2022-07-07 04:09:07,-21.3585,55.7679,68.22,70,61,10.45
98,Esmeraldas,BR,2022-07-07 04:09:08,-19.7625,-44.3139,59.86,76,0,3.76
99,Ancud,CL,2022-07-07 04:09:08,-41.8697,-73.8203,42.22,78,100,14.2
100,Bereda,ES,2022-07-07 04:09:08,43.2686,-7.5406,56.57,100,38,6.6
101,Cidreira,BR,2022-07-07 04:09:09,-30.1811,-50.2056,63.91,80,100,4.54
102,Luderitz,NA,2022-07-07 04:09:10,-26.6481,15.1594,53.26,65,0,9.75
103,Khatanga,RU,2022-07-07 04:09:10,71.9667,102.5,44.94,69,100,12.62
104,Asau,RO,2022-07-07 04:09:10,46.4333,26.4,60.28,96,100,3.36
105,Puerto Ayora,EC,2022-07-07 03:59:40,-0.7393,-90.3518,70.56,92,63,5.01
106,Newport,GB,2022-07-07 04:06:25,51.5877,-2.9984,62.82,77,38,8.68
107,Port Alfred,ZA,2022-07-07 04:09:12,-33.5906,26.891,60.31,62,0,9.42
108,Krasnokamsk,RU,2022-07-07 04:09:13,58.0802,55.7541,64.15,64,7,4.16
109,Aranos,NA,2022-07-07 04:09:13,-24.1333,19.1167,50.5,48,0,9.53
110,Grindavik,IS,2022-07-07 04:09:14,63.8424,-22.4338,50.47,93,100,27.63
111,Ayr,GB,2022-07-07 04:09:14,55.4627,-4.6339,56.32,88,75,14.97
112,Ilebo,CD,2022-07-07 04:09:15,-4.3167,20.5833,67.3,50,75,1.72
113,Bambous Virieux,MU,2022-07-07 04:09:15,-20.3428,57.7575,71.85,60,75,9.22
114,Longyearbyen,SJ,2022-07-07 04:09:15,78.2186,15.6401,40.84,65,0,17.27
115,Wilmington,US,2022-07-07 04:09:16,34.2257,-77.9447,82.31,85,20,11.5
116,Pedernales,DO,2022-07-07 04:09:16,18.0384,-71.744,79.57,71,38,5.03
117,Clyde River,CA,2022-07-07 04:09:17,70.4692,-68.5914,42.98,66,97,1.14
118,Roma,US,2022-07-07 04:07:00,43.2128,-75.4557,63.66,86,0,0.0
119,Sarangani,PH,2022-07-07 04:09:17,5.4033,125.4636,83.84,76,75,13.67
120,Bambanglipuro,ID,2022-07-07 04:09:18,-7.95,110.2833,82.99,67,45,11.5
121,Shakhtinsk,KZ,2022-07-07 04:09:18,49.71,72.5872,68.52,49,99,7.87
122,Souillac,MU,2022-07-07 04:09:18,-20.5167,57.5167,71.98,60,75,9.22
123,Khani,GE,2022-07-07 04:09:19,41.9563,42.9566,69.37,61,0,4.92
124,Kruisfontein,ZA,2022-07-07 04:09:19,-34.0033,24.7314,51.98,58,0,7.81
125,Meulaboh,ID,2022-07-07 04:09:20,4.1363,96.1285,84.99,65,51,2.93
126,Namatanai,PG,2022-07-07 04:09:20,-3.6667,152.4333,81.28,82,96,13.56
127,La Huacana,MX,2022-07-07 04:09:21,18.9667,-101.8167,74.91,89,94,2.19
128,Bubaque,GW,2022-07-07 04:09:21,11.2833,-15.8333,80.13,82,75,12.12
129,Kailua,US,2022-07-07 04:09:22,21.4022,-157.7394,82.38,75,75,11.5
130,Marawi,PH,2022-07-07 04:09:22,7.9986,124.2928,79.99,71,66,6.4
131,Hovd,MN,2022-07-07 04:09:23,48.0056,91.6419,69.67,23,0,5.19
